id,codigo,nombre,ubicacion
PD1641,PD1641,Parada 7 / (M) Macul,POINT(-70.58957699977343 -33.50917799933734)
PE158,PE158,Parada / Colegio José A. Lecaros,POINT(-70.59252538242626 -33.514682019609836)
PE159,PE159,Parada / Fiscalía La Florida,POINT(-70.59418788408911 -33.51655611493315)
PE185,PE185,Parada / Fiscalía La Florida,POINT(-70.59371100003598 -33.51709800018001)
PE186,PE186,Av. Américo Vespucio / esq. Av. Departamental,POINT(-70.59134192262017 -33.51437557734597)
PA720,PA720,Parada 12 / (M) La Moneda,POINT(-70.65530555062651 -33.44557210076069)
PA215,PA215,Parada 5 / (M) La Moneda,POINT(-70.65439099738326 -33.44513600282533)
PA29,PA29,Nataniel Cox / esq. Tarapacá,POINT(-70.65365500483614 -33.447476001361615)
PA196,PA196,Nataniel Cox / esq. Eleuterio Ramírez,POINT(-70.65333195122413 -33.449545541759775)
PA197,PA197,Parada 1 / (M) Pque. Almagro,POINT(-70.65293330172732 -33.45199969778844)
PA55,PA55,Nataniel Cox / esq. Av. 10 de Julio,POINT(-70.65263268743733 -33.454152842002635)
PA627,PA627,Parada / CESFAM N°1,POINT(-70.65238600460121 -33.45554099786956)
PA56,PA56,Nataniel Cox / esq. Aconcagua,POINT(-70.65206127683757 -33.457753575980284)
PA57,PA57,Nataniel Cox / esq. Av. Manuel A. Matta,POINT(-70.65179899769592 -33.45956939324083)
PA58,PA58,Parada / Colegio Santa Cruz,POINT(-70.6511339669437 -33.463728172245936)
PA694,PA694,Nataniel Cox / esq. Pedro Lagos,POINT(-70.65079900324979 -33.46589800015966)
PA60,PA60,Nataniel Cox / esq. Ñuble,POINT(-70.650202685745 -33.46970964717074)
PA61,PA61,Nataniel Cox / esq. Franklin,POINT(-70.64966183475619 -33.47316000344159)
PA62,PA62,Parada 1 / (M) Franklin,POINT(-70.648415299664 -33.47529082187331)
PH110,PH110,Parada 1 / Paradero 3 Gran Avenida,POINT(-70.64834895398624 -33.47933285553883)
PH111,PH111,Parada 1 / Hospital Barros Luco,POINT(-70.64953000244847 -33.48351200171154)
PH112,PH112,Parada 3 / Municipalidad de San Miguel,POINT(-70.65008100027075 -33.48547000122818)
PH113,PH113,Parada 1 / (M) San Miguel,POINT(-70.65116900439719 -33.48944699506987)
PH114,PH114,Parada / Paradero 9 Gran Avenida,POINT(-70.65176399518933 -33.49177899520312)
PH115,PH115,Parada / Paradero 9 1/2 Gran Avenida,POINT(-70.65259500001629 -33.494890999867465)
PH792,PH792,Parada 1 / (M) Lo Vial,POINT(-70.6534430025441 -33.497907997607086)
PH118,PH118,Parada / Colegio Chile,POINT(-70.65445133527899 -33.50140000622756)
PH119,PH119,Parada 3 / (M) Departamental,POINT(-70.6552050027937 -33.50398499613193)
PH121,PH121,Parada 1 / (M) Ciudad del Niño,POINT(-70.65643899975989 -33.508375999198314)
PH122,PH122,Parada 1 / Paradero 15 Gran Avenida,POINT(-70.65758860761318 -33.51241360199905)
PH123,PH123,Parada 1 / Paradero 17 Gran Avenida,POINT(-70.65809989354807 -33.514338805691956)
PG1,PG1,Parada 1 / (M) Lo Ovalle,POINT(-70.65927306467083 -33.51843220899494)
PG68,PG68,Parada 2 / (M) Lo Ovalle,POINT(-70.65910683509665 -33.51884403996107)
PG69,PG69,Parada 2 / Paradero 17 Gran Avenida,POINT(-70.65800076319582 -33.51501153375244)
PH124,PH124,Parada 2 / Paradero 15 Gran Avenida,POINT(-70.65703370440805 -33.51158161807852)
