id,nombre,destino,tipo,frecuencias
101,101,Cerrillos,3,"[[19800, 23400, 900], [19800, 27000, 1200], [23400, 28800, 675], [23400, 32400, 900], [27000, 46800, 990], [28800, 34200, 771], [32400, 43200, 900], [34200, 45000, 900], [43200, 54000, 900], [45000, 50400, 900], [46800, 64800, 1058], [50400, 59400, 818], [54000, 70200, 900], [59400, 66600, 720], [64800, 75600, 1080], [66600, 73800, 720], [70200, 79200, 1125], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1200]]"
102,102,San Carlos Oriente,3,"[[0, 3600, 1800], [3600, 19800, 16200], [19800, 23400, 900], [19800, 27000, 1028], [23400, 28800, 900], [23400, 32400, 692], [27000, 46800, 792], [28800, 34200, 900], [32400, 43200, 771], [34200, 45000, 830], [43200, 54000, 720], [45000, 50400, 600], [46800, 64800, 857], [50400, 59400, 692], [54000, 70200, 736], [59400, 66600, 553], [64800, 75600, 900], [66600, 73800, 720], [70200, 79200, 818], [73800, 79200, 771], [75600, 79200, 900], [79200, 86400, 1028]]"
103,103,Providencia,3,"[[0, 3600, 1800], [3600, 19800, 5400], [19800, 23400, 600], [19800, 27000, 1200], [23400, 28800, 540], [23400, 32400, 692], [27000, 46800, 990], [28800, 34200, 600], [32400, 43200, 720], [34200, 45000, 635], [43200, 54000, 720], [45000, 50400, 600], [46800, 64800, 750], [50400, 59400, 600], [54000, 70200, 736], [59400, 66600, 600], [64800, 75600, 900], [66600, 73800, 654], [70200, 79200, 1000], [73800, 79200, 771], [75600, 79200, 1800], [79200, 86400, 1200]]"
104,104,Providencia,3,"[[0, 3600, 1800], [3600, 19800, 1157], [19800, 23400, 360], [19800, 27000, 800], [23400, 28800, 270], [23400, 32400, 428], [27000, 46800, 582], [28800, 34200, 360], [32400, 43200, 431], [34200, 45000, 360], [43200, 54000, 450], [45000, 50400, 385], [46800, 64800, 529], [50400, 59400, 409], [54000, 70200, 476], [59400, 66600, 360], [64800, 75600, 635], [66600, 73800, 514], [70200, 79200, 600], [73800, 79200, 600], [75600, 79200, 900], [79200, 86400, 800]]"
105,105,Lo Espejo,3,"[[3600, 19800, 8100], [19800, 23400, 400], [19800, 27000, 1200], [23400, 28800, 415], [23400, 32400, 500], [27000, 46800, 682], [28800, 34200, 415], [32400, 43200, 600], [34200, 45000, 568], [43200, 54000, 540], [45000, 50400, 600], [46800, 64800, 642], [50400, 59400, 600], [54000, 70200, 558], [59400, 66600, 423], [64800, 75600, 771], [66600, 73800, 480], [70200, 79200, 642], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1028]]"
105c,105c,© Lo Valledor - Lo Espejo,3,"[[19800, 23400, 720], [23400, 28800, 675], [28800, 34200, 771], [59400, 66600, 900], [66600, 73800, 900], [73800, 79200, 2700]]"
106,106,Nueva San Martin,3,"[[19800, 23400, 900], [19800, 27000, 1800], [23400, 28800, 490], [23400, 32400, 900], [27000, 46800, 1164], [28800, 34200, 675], [32400, 43200, 900], [34200, 45000, 635], [43200, 54000, 900], [45000, 50400, 600], [46800, 64800, 1200], [50400, 59400, 600], [54000, 70200, 900], [59400, 66600, 600], [64800, 75600, 1200], [66600, 73800, 720], [70200, 79200, 1125], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1028]]"
107,107,Ciudad Empresarial,3,"[[0, 3600, 1800], [3600, 19800, 1246], [19800, 23400, 257], [19800, 27000, 900], [23400, 28800, 337], [23400, 32400, 500], [27000, 46800, 600], [28800, 34200, 450], [32400, 43200, 514], [34200, 45000, 514], [43200, 54000, 514], [45000, 50400, 490], [46800, 64800, 600], [50400, 59400, 473], [54000, 70200, 522], [59400, 66600, 400], [64800, 75600, 600], [66600, 73800, 514], [70200, 79200, 642], [73800, 79200, 771], [75600, 79200, 720], [79200, 86400, 900]]"
107c,107c,Ciudad Empresarial,3,"[[23400, 28800, 540], [59400, 66600, 2400], [66600, 73800, 1200]]"
108,108,Maipu,3,"[[19800, 23400, 720], [19800, 27000, 1200], [23400, 28800, 450], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 540], [32400, 43200, 720], [34200, 45000, 720], [43200, 54000, 771], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 562], [54000, 70200, 736], [59400, 66600, 480], [64800, 75600, 900], [66600, 73800, 720], [70200, 79200, 900], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1028]]"
109,109,Renca,3,"[[19800, 23400, 450], [19800, 27000, 1200], [23400, 28800, 490], [23400, 32400, 900], [27000, 46800, 942], [28800, 34200, 600], [32400, 43200, 900], [34200, 45000, 635], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 529], [54000, 70200, 900], [59400, 66600, 514], [64800, 75600, 1200], [66600, 73800, 600], [70200, 79200, 1125], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1028]]"
109N,109n,Plaza Italia,3,"[[0, 3600, 1800], [3600, 19800, 1800]]"
110,110,Maipu,3,"[[0, 3600, 1800], [19800, 23400, 900], [19800, 27000, 1200], [23400, 28800, 675], [23400, 32400, 750], [27000, 46800, 942], [28800, 34200, 675], [32400, 43200, 771], [34200, 45000, 720], [43200, 54000, 635], [45000, 50400, 771], [46800, 64800, 900], [50400, 59400, 600], [54000, 70200, 623], [59400, 66600, 600], [64800, 75600, 981], [66600, 73800, 654], [70200, 79200, 818], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 900]]"
113,113,Ciudad Satelite,3,"[[19800, 27000, 3600], [23400, 28800, 675], [23400, 32400, 1125], [27000, 46800, 900], [28800, 34200, 771], [32400, 43200, 830], [34200, 45000, 720], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 692], [54000, 70200, 900], [59400, 66600, 654], [64800, 75600, 900], [66600, 73800, 800], [70200, 79200, 1000], [73800, 79200, 675], [75600, 79200, 1200], [79200, 86400, 1200]]"
